0;;0
1;13;0
2;14;0
3;9;0
4;15;0
5;3;1
6;14,15;0
7;9,15;0
7;7,-16;3
7;3,14;1
8;16;0
9;13,16;0
10;4;2
11;9,16;0
11;7,-15;3
11;4,13;2
12;10;0
13;10,13;0
13;7,-14;3
13;3,16;1
14;10,14;0
14;7,-13;3
14;4,15;2
15;7;3
16;17;0
17;13,17;0
18;14,17;0
19;9,17;0
20;15,17;0
21;3,17;1
21;1,-19;5
22;14,15,17;0
23;9,15,17;0
23;7,-16,17;3
23;3,14,17;1
23;1,14,-19;5
24;16,17;0
25;13,16,17;0
26;4,17;2
27;9,16,17;0
27;7,-15,17;3
27;4,13,17;2
28;10,17;0
29;10,13,17;0
29;7,-14,17;3
29;3,16,17;1
29;1,16,-19;5
30;10,14,17;0
30;7,-13,17;3
30;4,15,17;2
31;7,17;3
32;18;0
33;13,18;0
34;14,18;0
35;9,18;0
36;15,18;0
37;3,18;1
38;14,15,18;0
39;9,15,18;0
39;7,-16,18;3
39;3,14,18;1
40;16,18;0
41;13,16,18;0
42;4,18;2
42;2,-20;10
43;9,16,18;0
43;7,-15,18;3
43;4,13,18;2
43;2,13,-20;10
44;10,18;0
45;10,13,18;0
45;7,-14,18;3
45;3,16,18;1
46;10,14,18;0
46;7,-13,18;3
46;4,15,18;2
46;2,15,-20;10
47;7,18;3
48;11;0
49;11,13;0
50;11,14;0
51;9,11;0
52;11,15;0
53;3,11;1
54;11,14,15;0
55;9,11,15;0
55;7,11,-16;3
55;3,11,14;1
55;0,-12,-16;15
56;11,16;0
57;11,13,16;0
58;4,11;2
59;9,11,16;0
59;7,11,-15;3
59;4,11,13;2
59;0,-12,-15;15
60;10,11;0
61;10,11,13;0
61;7,11,-14;3
61;3,11,16;1
61;0,-12,-14;15
62;10,11,14;0
62;7,11,-13;3
62;4,11,15;2
62;0,-12,-13;15
63;7,11;3
63;0,-12;15
64;19;0
65;13,19;0
66;14,19;0
67;9,19;0
68;15,19;0
69;3,19;1
69;1,-17;5
70;14,15,19;0
71;9,15,19;0
71;7,-16,19;3
71;3,14,19;1
71;1,14,-17;5
72;16,19;0
73;13,16,19;0
74;4,19;2
75;9,16,19;0
75;7,-15,19;3
75;4,13,19;2
76;10,19;0
77;10,13,19;0
77;7,-14,19;3
77;3,16,19;1
77;1,16,-17;5
78;10,14,19;0
78;7,-13,19;3
78;4,15,19;2
79;7,19;3
80;5;4
81;5,13;4
81;1,-15;5
82;5,14;4
83;5,9;4
84;5,15;4
84;1,-13;5
85;1;5
86;5,14,15;4
86;1,-13,14;5
87;1,14;5
